125.05.07 09:50 A pycode_adaptiveoptics\skymapper\ref_pnt_data\33512802 <-- PC-Laser C:\LASET\PREDICTS 33512802
125.05.07 11:20 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x101279 --> 193.170.87.146 C:\LASET\PREDICTS x101279
125.05.07 11:26 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x1012709 --> 193.170.87.146 C:\LASET\PREDICTS x1012709
125.05.07 11:27 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x1112709 --> 193.170.87.146 C:\LASET\PREDICTS x1112709
125.05.07 11:27 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x1212709 --> 193.170.87.146 C:\LASET\PREDICTS x1212709
125.05.07 11:27 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x1312709 --> 193.170.87.146 C:\LASET\PREDICTS x1312709
125.05.07 11:27 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x1412709 --> 193.170.87.146 C:\LASET\PREDICTS x1412709
125.05.07 11:39 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x1012709 --> 193.170.87.146 C:\LASET\PREDICTS x1012709
125.05.07 11:39 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x1112709 --> 193.170.87.146 C:\LASET\PREDICTS x1112709
125.05.07 11:39 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x1212709 --> 193.170.87.146 C:\LASET\PREDICTS x1212709
125.05.07 11:39 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x1312709 --> 193.170.87.146 C:\LASET\PREDICTS x1312709
125.05.07 11:39 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x1412709 --> 193.170.87.146 C:\LASET\PREDICTS x1412709
125.05.07 11:39 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x1512709 --> 193.170.87.146 C:\LASET\PREDICTS x1512709
125.05.07 11:39 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x1612709 --> 193.170.87.146 C:\LASET\PREDICTS x1612709
125.05.07 11:39 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x1712709 --> 193.170.87.146 C:\LASET\PREDICTS x1712709
125.05.07 11:54 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x1012708 --> 193.170.87.146 C:\LASET\PREDICTS x1012708
125.05.07 11:54 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x1112708 --> 193.170.87.146 C:\LASET\PREDICTS x1112708
